pc_reads_total	n_reads_clade	n_reads_direct	n_minimizers_total	n_minimizers_distinct	rank	taxid	name	sample
0	43	43	238	202	S	1849581	Dyella caseinilytica	AP-DNA-2
0	27	0	140	120	G1	2634549	unclassified Dyella	AP-DNA-2
0	27	27	140	120	S	2501295	Dyella sp. M7H15-1	AP-DNA-2
0	230	0	1186	1087	G	70411	Frateuria	AP-DNA-2
0	191	15	965	892	G1	2648894	unclassified Frateuria	AP-DNA-2
0	89	89	395	359	S	1542730	Frateuria sp. 5GH9-11	AP-DNA-2
0	87	87	497	463	S	2898793	Frateuria sp. 5GH9-34	AP-DNA-2
0	39	0	221	195	S	81475	Frateuria aurantia	AP-DNA-2
0	39	39	221	195	S1	767434	Frateuria aurantia DSM 6220	AP-DNA-2
0	214	0	994	909	G	323413	Dokdonella	AP-DNA-2
0	214	0	994	909	S	323415	Dokdonella koreensis	AP-DNA-2
0	214	214	994	909	S1	1300342	Dokdonella koreensis DS-123	AP-DNA-2
0	120	0	529	502	G	2707020	Aerosticca	AP-DNA-2
0	120	120	529	502	S	2010829	Aerosticca soli	AP-DNA-2
0	110	0	523	487	G	1453544	Tahibacter	AP-DNA-2
0	110	0	523	487	G1	2636986	unclassified Tahibacter	AP-DNA-2
0	110	110	523	487	S	2976241	Tahibacter sp. W38	AP-DNA-2
0	41	0	232	212	G	2233801	Ahniella	AP-DNA-2
0	41	41	232	212	S	2021234	Ahniella affigens	AP-DNA-2
0.09	35228	0	256794	210829	O	135624	Aeromonadales	AP-DNA-2
0.09	35218	15	256710	210753	F	84642	Aeromonadaceae	AP-DNA-2
0.09	35067	23336	255288	209578	G	642	Aeromonas	AP-DNA-2
0.01	3420	3407	9945	8414	S	651	Aeromonas media	AP-DNA-2
0	13	13	37	37	S1	1208104	Aeromonas media WS	AP-DNA-2
0.01	2696	2138	7531	6627	S	644	Aeromonas hydrophila	AP-DNA-2
0	527	527	1135	970	S1	1354302	Aeromonas hydrophila 4AK4	AP-DNA-2
0	25	10	54	52	S1	196023	Aeromonas hydrophila subsp. hydrophila	AP-DNA-2
0	15	15	26	25	S2	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	AP-DNA-2
0	4	4	9	8	S1	1448139	Aeromonas hydrophila YL17	AP-DNA-2
0	1	1	1	1	S1	1288394	Aeromonas hydrophila ML09-119	AP-DNA-2
0	1	1	3	3	S1	1416915	Aeromonas hydrophila NJ-35	AP-DNA-2
0.01	2154	2154	5773	5107	S	648	Aeromonas caviae	AP-DNA-2
0	1116	1116	3032	2560	S	948519	Aeromonas rivipollensis	AP-DNA-2
0	1012	92	3666	3192	G1	257493	unclassified Aeromonas	AP-DNA-2
0	221	221	1157	941	S	1636609	Aeromonas sp. ASNIH4	AP-DNA-2
0	105	105	246	218	S	1920107	Aeromonas sp. ASNIH7	AP-DNA-2
0	92	92	493	432	S	2778055	Aeromonas sp. FDAARGOS 1406	AP-DNA-2
0	82	82	210	179	S	2778064	Aeromonas sp. FDAARGOS 1415	AP-DNA-2
0	64	64	149	131	S	2778051	Aeromonas sp. FDAARGOS 1402	AP-DNA-2
0	62	62	174	156	S	2033032	Aeromonas sp. CA23	AP-DNA-2
0	58	58	147	141	S	1758179	Aeromonas sp. ASNIH5	AP-DNA-2
0	42	42	108	98	S	2560029	Aeromonas sp. 2692-1	AP-DNA-2
0	35	35	111	102	S	2778058	Aeromonas sp. FDAARGOS 1409	AP-DNA-2
0	30	30	113	99	S	2033033	Aeromonas sp. CU5	AP-DNA-2
0	23	23	60	53	S	1636607	Aeromonas sp. ASNIH2	AP-DNA-2
0	18	18	55	54	S	2778067	Aeromonas sp. FDAARGOS 1418	AP-DNA-2
0	16	16	99	96	S	2778054	Aeromonas sp. FDAARGOS 1405	AP-DNA-2
0	12	12	41	35	S	2778056	Aeromonas sp. FDAARGOS 1407	AP-DNA-2
0	9	9	20	20	S	2560028	Aeromonas sp. 1805	AP-DNA-2
0	7	7	33	32	S	2675707	Aeromonas sp. WP2-W18-CRE-05	AP-DNA-2
0	6	6	12	12	S	2778052	Aeromonas sp. FDAARGOS 1403	AP-DNA-2
0	5	5	16	9	S	2778068	Aeromonas sp. FDAARGOS 1419	AP-DNA-2
0	5	5	11	9	S	2778060	Aeromonas sp. FDAARGOS 1411	AP-DNA-2
0	5	5	21	20	S	647	Aeromonas sp.	AP-DNA-2
0	5	5	13	12	S	1636608	Aeromonas sp. ASNIH3	AP-DNA-2
0	5	5	13	13	S	1636606	Aeromonas sp. ASNIH1	AP-DNA-2
0	3	3	14	14	S	2778053	Aeromonas sp. FDAARGOS 1404	AP-DNA-2
0	3	3	10	10	S	2778063	Aeromonas sp. FDAARGOS 1414	AP-DNA-2
0	2	2	8	7	S	2778057	Aeromonas sp. FDAARGOS 1408	AP-DNA-2
0	2	2	11	10	S	2778059	Aeromonas sp. FDAARGOS 1410	AP-DNA-2
0	2	2	13	10	S	2778066	Aeromonas sp. FDAARGOS 1417	AP-DNA-2
0	1	1	11	11	S	2778065	Aeromonas sp. FDAARGOS 1416	AP-DNA-2
0	345	339	1189	992	S	654	Aeromonas veronii	AP-DNA-2
0	3	3	8	8	S1	998088	Aeromonas veronii B565	AP-DNA-2
0	3	3	13	8	S1	1347420	Aeromonas veronii Hm21	AP-DNA-2
0	330	248	1244	1086	S	645	Aeromonas salmonicida	AP-DNA-2
0	62	0	365	325	S1	96473	Aeromonas salmonicida subsp. pectinolytica	AP-DNA-2
0	62	62	365	325	S2	1324960	Aeromonas salmonicida subsp. pectinolytica 34mel	AP-DNA-2
0	16	16	65	56	S1	29491	Aeromonas salmonicida subsp. salmonicida	AP-DNA-2
0	4	4	20	20	S1	197700	Aeromonas salmonicida subsp. masoucida	AP-DNA-2
0	252	252	805	718	S	73010	Aeromonas encheleia	AP-DNA-2
0	98	97	292	256	S	196024	Aeromonas dhakensis	AP-DNA-2
0	1	1	3	3	S1	1156800	Aeromonas dhakensis AAK1	AP-DNA-2
0	77	77	231	211	S	648794	Aeromonas rivuli	AP-DNA-2
0	50	50	156	142	S	29489	Aeromonas enteropelogenes	AP-DNA-2
0	42	42	151	144	S	218936	Aeromonas simiae	AP-DNA-2
0	41	41	160	125	S	650	Aeromonas jandaei	AP-DNA-2
0	40	40	173	149	S	633415	Aeromonas sanarellii	AP-DNA-2
0	38	38	170	161	S	652	Aeromonas schubertii	AP-DNA-2
0	18	18	86	75	S	656	Aeromonas allosaccharophila	AP-DNA-2
0	2	2	6	6	S	646	Aeromonas sobria	AP-DNA-2
0	64	0	317	277	G	347533	Zobellella	AP-DNA-2
0	64	64	317	277	S	347534	Zobellella denitrificans	AP-DNA-2
0	26	0	171	157	G	225143	Oceanisphaera	AP-DNA-2
0	25	25	134	123	S	1416627	Oceanisphaera profunda	AP-DNA-2
0	1	1	34	31	S	1903694	Oceanisphaera avium	AP-DNA-2
0	18	0	137	124	G	129577	Oceanimonas	AP-DNA-2
0	18	0	137	124	G1	2636315	unclassified Oceanimonas	AP-DNA-2
0	18	18	137	124	S	511062	Oceanimonas sp. GK1	AP-DNA-2
0	17	0	108	90	G	43947	Tolumonas	AP-DNA-2
0	17	0	108	90	S	43948	Tolumonas auensis	AP-DNA-2
0	17	17	108	90	S1	595494	Tolumonas auensis DSM 9187	AP-DNA-2
0	11	0	60	53	G	2802288	Dongshaea	AP-DNA-2
0	11	11	60	53	S	2047966	Dongshaea marina	AP-DNA-2
0	10	0	84	78	F	83763	Succinivibrionaceae	AP-DNA-2
0	10	0	84	78	G	83770	Succinivibrio	AP-DNA-2
0	10	10	84	78	S	83771	Succinivibrio dextrinosolvens	AP-DNA-2
0.08	30674	0	261637	208285	O	135625	Pasteurellales	AP-DNA-2
0.08	30674	527	261637	208285	F	712	Pasteurellaceae	AP-DNA-2
0.07	27933	4922	228995	182989	G	724	Haemophilus	AP-DNA-2
0.03	10136	9979	43498	36320	S	727	Haemophilus influenzae	AP-DNA-2
0	85	85	375	357	S1	1232659	Haemophilus influenzae 2019	AP-DNA-2
0	53	53	368	321	S1	725	Haemophilus influenzae biotype aegyptius	AP-DNA-2
0	7	7	16	14	S1	281310	Haemophilus influenzae 86-028NP	AP-DNA-2
0	6	6	13	11	S1	1295140	Haemophilus influenzae CGSHiCZ412602	AP-DNA-2
0	3	3	5	5	S1	262727	Haemophilus influenzae R2846	AP-DNA-2
0	2	2	5	5	S1	862964	Haemophilus influenzae 10810	AP-DNA-2
0	1	1	1	1	S1	262728	Haemophilus influenzae R2866	AP-DNA-2
0.03	9880	9462	71175	62011	S	729	Haemophilus parainfluenzae	AP-DNA-2
0	418	418	835	803	S1	862965	Haemophilus parainfluenzae T3T1	AP-DNA-2
0	1522	1522	5883	5535	S	726	Haemophilus haemolyticus	AP-DNA-2
0	755	755	3942	3739	S	735	Haemophilus parahaemolyticus	AP-DNA-2
0	656	0	3351	3101	G1	2609962	unclassified Haemophilus	AP-DNA-2
0	656	656	3351	3101	S	712310	Haemophilus sp. oral taxon 036	AP-DNA-2
0	30	30	187	178	S	730	[Haemophilus] ducreyi	AP-DNA-2
0	20	20	118	117	S	249188	Haemophilus pittmaniae	AP-DNA-2
0	12	12	35	27	S	197575	Haemophilus aegyptius	AP-DNA-2
0	927	104	6323	6146	G	416916	Aggregatibacter	AP-DNA-2
0	377	285	2229	2160	S	732	Aggregatibacter aphrophilus	AP-DNA-2
0	59	59	167	165	S1	634176	Aggregatibacter aphrophilus NJ8700	AP-DNA-2
0	33	33	114	99	S1	985008	Aggregatibacter aphrophilus ATCC 33389	AP-DNA-2
0	370	43	1827	1786	G1	2639383	unclassified Aggregatibacter	AP-DNA-2
0	155	155	620	613	S	712150	Aggregatibacter sp. oral taxon 513	AP-DNA-2
0	112	112	569	544	S	2820817	Aggregatibacter sp. 2125159857	AP-DNA-2
0	60	60	275	271	S	2866570	Aggregatibacter sp. Marseille-P9115	AP-DNA-2
0	47	47	221	220	S	739	Aggregatibacter segnis	AP-DNA-2
0	29	26	156	141	S	714	Aggregatibacter actinomycetemcomitans	AP-DNA-2
0	1	1	1	1	S1	272556	Aggregatibacter actinomycetemcomitans HK1651	AP-DNA-2
0	1	1	7	7	S1	668336	Aggregatibacter actinomycetemcomitans D11S-1	AP-DNA-2
0	1	1	2	2	S1	1407647	Aggregatibacter actinomycetemcomitans NUM4039	AP-DNA-2
0	774	55	4364	2642	G	745	Pasteurella	AP-DNA-2
0	638	144	2823	1144	S	747	Pasteurella multocida	AP-DNA-2
0	494	461	2051	402	S1	44283	Pasteurella multocida subsp. multocida	AP-DNA-2
0	33	33	227	223	S2	1304873	Pasteurella multocida subsp. multocida OH4807	AP-DNA-2
0	64	64	494	479	S	753	Pasteurella canis	AP-DNA-2
0	12	12	27	25	S	754	Pasteurella dagmatis	AP-DNA-2
0	3	3	33	33	S	2827233	Pasteurella atlantica	AP-DNA-2
0	1	1	3	3	S	760	Pasteurella stomatis	AP-DNA-2
0	1	1	26	23	S	97481	Pasteurella skyensis	AP-DNA-2
0	191	0	1341	1301	G	1649317	Frederiksenia	AP-DNA-2
0	191	191	1341	1301	S	123824	Frederiksenia canicola	AP-DNA-2
0	86	26	511	460	G	75984	Mannheimia	AP-DNA-2
0	19	19	104	90	S	75985	Mannheimia haemolytica	AP-DNA-2
0	17	17	100	91	S	85402	Mannheimia granulomatis	AP-DNA-2
0	14	9	73	70	S	85404	Mannheimia varigena	AP-DNA-2
0	3	3	11	10	S1	1434215	Mannheimia varigena USDA-ARS-USMARC-1388	AP-DNA-2
0	1	1	2	2	S1	1433287	Mannheimia varigena USDA-ARS-USMARC-1296	AP-DNA-2
0	1	1	4	4	S1	1434214	Mannheimia varigena USDA-ARS-USMARC-1312	AP-DNA-2
0	5	0	26	25	G1	2645054	unclassified Mannheimia	AP-DNA-2
0	4	4	23	23	S	1432056	Mannheimia sp. USDA-ARS-USMARC-1261	AP-DNA-2
0	1	1	3	2	S	2679995	Mannheimia sp. ZY171111	AP-DNA-2
0	3	3	20	19	S	2770636	Mannheimia bovis	AP-DNA-2
0	2	2	22	20	S	111844	Mannheimia pernigra	AP-DNA-2
0	78	18	354	302	G	713	Actinobacillus	AP-DNA-2
0	20	15	94	69	S	715	Actinobacillus pleuropneumoniae	AP-DNA-2
0	5	5	13	10	S1	754345	Actinobacillus pleuropneumoniae serovar 8	AP-DNA-2
0	19	19	52	43	S	189834	Actinobacillus porcitonsillarum	AP-DNA-2
0	8	8	37	30	S	51049	Actinobacillus indolicus	AP-DNA-2
0	6	0	30	27	G1	2644856	unclassified Actinobacillus	AP-DNA-2
0	6	6	30	27	S	2774188	Actinobacillus sp. GY-402	AP-DNA-2
0	3	3	33	29	S	718	Actinobacillus equuli	AP-DNA-2
0	2	2	21	21	S	51161	Actinobacillus delphinicola	AP-DNA-2
0	1	1	17	17	S	716	Actinobacillus suis	AP-DNA-2
0	1	1	6	6	S	720	Actinobacillus lignieresii	AP-DNA-2
0	39	0	192	183	G	2094023	Glaesserella	AP-DNA-2
0	30	29	125	120	S	738	Glaesserella parasuis	AP-DNA-2
0	1	1	4	4	S1	1275971	Glaesserella parasuis D74	AP-DNA-2
0	9	0	66	62	G1	2629322	unclassified Glaesserella	AP-DNA-2
0	9	9	66	62	S	2030797	Glaesserella sp. 15-184	AP-DNA-2
0	25	1	164	145	G	292486	Avibacterium	AP-DNA-2
0	15	15	71	60	S	728	Avibacterium paragallinarum	AP-DNA-2
0	5	2	41	39	G1	2685287	unclassified Avibacterium	AP-DNA-2
0	2	2	10	10	S	2911526	Avibacterium sp. 20-132	AP-DNA-2
0	1	1	10	10	S	2911527	Avibacterium sp. 21-595	AP-DNA-2
0	4	4	25	25	S	762	Avibacterium volantium	AP-DNA-2
0	23	0	116	112	G	214906	Histophilus	AP-DNA-2
0	23	19	116	112	S	731	Histophilus somni	AP-DNA-2
0	4	4	15	15	S1	228400	Histophilus somni 2336	AP-DNA-2
0	14	0	55	42	G	109471	Bisgaardia	AP-DNA-2
0	14	14	55	42	S	109472	Bisgaardia hudsonensis	AP-DNA-2
0	12	0	155	140	G	1960084	Rodentibacter	AP-DNA-2
0	9	9	98	89	S	1906744	Rodentibacter heylii	AP-DNA-2
0	3	3	57	51	S	2778911	Rodentibacter haemolyticus	AP-DNA-2
0	10	0	64	59	G	155493	Gallibacterium	AP-DNA-2
0	10	7	64	59	S	750	Gallibacterium anatis	AP-DNA-2
0	3	3	21	21	S1	1005058	Gallibacterium anatis UMN179	AP-DNA-2
0	10	0	43	39	G	1249016	Otariodibacter	AP-DNA-2
0	10	10	43	39	S	1032623	Otariodibacter oris	AP-DNA-2
0	9	0	40	38	G	1520333	Vespertiliibacter	AP-DNA-2
0	9	9	40	38	S	1443036	Vespertiliibacter pulmonis	AP-DNA-2
0	7	0	44	42	G	2899790	Mergibacter	AP-DNA-2
0	7	7	44	42	S	221402	Mergibacter septicus	AP-DNA-2
0	5	2	48	46	G	697331	Basfia	AP-DNA-2
0	2	0	6	6	S	157673	[Mannheimia] succiniciproducens	AP-DNA-2
0	2	2	6	6	S1	221988	[Mannheimia] succiniciproducens MBEL55E	AP-DNA-2
0	1	1	8	7	S	653940	Basfia succiniciproducens	AP-DNA-2
0	4	0	45	43	G	476528	Bibersteinia	AP-DNA-2
0	4	4	45	43	S	47735	Bibersteinia trehalosi	AP-DNA-2
0.05	20591	39	92521	49123	O	135613	Chromatiales	AP-DNA-2
0.05	19347	30	86459	43542	F	1046	Chromatiaceae	AP-DNA-2
0.05	18787	2221	83401	40717	G	67575	Rheinheimera	AP-DNA-2
0.03	11615	49	41262	20387	G1	115860	unclassified Rheinheimera	AP-DNA-2
0.03	11089	11089	38347	18833	S	1869214	Rheinheimera sp.	AP-DNA-2
0	360	360	1744	908	S	1763998	Rheinheimera sp. F8	AP-DNA-2
0	117	117	584	383	S	2545632	Rheinheimera sp. D18	AP-DNA-2
0.01	4951	4951	17375	8547	S	2498451	Rheinheimera mangrovi	AP-DNA-2
0	99	0	549	517	G	53392	Thiodictyon	AP-DNA-2
0	99	99	549	517	S	1166950	Candidatus Thiodictyon syntrophicum	AP-DNA-2
0	94	15	456	409	G	85072	Allochromatium	AP-DNA-2
0	42	42	213	190	S	553982	Allochromatium tepidum	AP-DNA-2
0	37	0	185	167	S	1049	Allochromatium vinosum	AP-DNA-2
0	37	37	185	167	S1	572477	Allochromatium vinosum DSM 180	AP-DNA-2
0	78	0	407	379	G	156885	Thioflavicoccus	AP-DNA-2
0	78	0	407	379	S	80679	Thioflavicoccus mobilis	AP-DNA-2
0	78	78	407	379	S1	765912	Thioflavicoccus mobilis 8321	AP-DNA-2
0	77	0	433	404	G	85076	Marichromatium	AP-DNA-2
0	77	0	433	404	S	37487	Marichromatium purpuratum	AP-DNA-2
0	77	77	433	404	S1	765910	Marichromatium purpuratum 984	AP-DNA-2
0	52	0	343	315	G	1056	Thiocapsa	AP-DNA-2
0	52	52	343	315	S	521689	Thiocapsa bogorovii	AP-DNA-2
0	51	0	288	263	G	13724	Thiocystis	AP-DNA-2
0	51	0	288	263	S	73141	Thiocystis violascens	AP-DNA-2
0	51	51	288	263	S1	765911	Thiocystis violascens DSM 198	AP-DNA-2
0	33	0	135	130	G	85073	Thermochromatium	AP-DNA-2
0	33	0	135	130	S	1050	Thermochromatium tepidum	AP-DNA-2
0	33	33	135	130	S1	316276	Thermochromatium tepidum ATCC 43061	AP-DNA-2
0	21	4	177	162	G	1227	Nitrosococcus	AP-DNA-2
0	7	0	40	38	S	133539	Nitrosococcus halophilus	AP-DNA-2
0	7	7	40	38	S1	472759	Nitrosococcus halophilus Nc 4	AP-DNA-2
0	6	0	42	32	S	473531	Nitrosococcus watsonii	AP-DNA-2
0	6	6	42	32	S1	105559	Nitrosococcus watsonii C-113	AP-DNA-2
0	3	0	33	31	S	1229	Nitrosococcus oceani	AP-DNA-2
0	3	3	33	31	S1	323261	Nitrosococcus oceani ATCC 19707	AP-DNA-2
0	1	1	46	45	S	1814290	Nitrosococcus wardiae	AP-DNA-2
0	12	0	99	92	G	2828366	Caldichromatium	AP-DNA-2
0	12	12	99	92	S	2699430	Caldichromatium japonicum	AP-DNA-2
0	11	0	44	35	G	2796146	Candidatus Nitrosacidococcus	AP-DNA-2
0	9	0	27	19	G1	2942907	unclassified Candidatus Nitrosacidococcus	AP-DNA-2
0	9	9	27	19	S	2942908	Candidatus Nitrosacidococcus sp. I8	AP-DNA-2
0	2	2	15	14	S	553981	Candidatus Nitrosacidococcus tergens	AP-DNA-2
0	2	0	18	14	G	1980513	Candidatus Nitrosoglobus	AP-DNA-2
0	2	2	18	14	S	1630141	Candidatus Nitrosoglobus terrae	AP-DNA-2
0	816	19	3989	3683	F	72276	Ectothiorhodospiraceae	AP-DNA-2
0	265	23	1277	1199	G	106633	Thioalkalivibrio	AP-DNA-2
0	59	59	245	224	S	106634	Thioalkalivibrio versutus	AP-DNA-2
0	54	0	231	220	S	1033854	Thioalkalivibrio sulfidiphilus	AP-DNA-2
0	54	54	231	220	S1	396588	Thioalkalivibrio sulfidiphilus HL-EbGr7	AP-DNA-2
0	53	0	237	220	S	186931	Thioalkalivibrio nitratireducens	AP-DNA-2
0	53	53	237	220	S1	1255043	Thioalkalivibrio nitratireducens DSM 14787	AP-DNA-2
0	44	0	268	250	S	108010	Thioalkalivibrio paradoxus	AP-DNA-2
0	44	44	268	250	S1	713585	Thioalkalivibrio paradoxus ARh 1	AP-DNA-2
0	32	0	191	187	G1	2621013	unclassified Thioalkalivibrio	AP-DNA-2
0	32	32	191	187	S	396595	Thioalkalivibrio sp. K90mix	AP-DNA-2
0	186	2	934	857	G	1335745	Spiribacter	AP-DNA-2
0	128	2	655	608	G1	2629425	unclassified Spiribacter	AP-DNA-2
0	101	101	534	491	S	2182432	Spiribacter sp. E85	AP-DNA-2
0	25	25	117	114	S	2666185	Spiribacter sp. 2438	AP-DNA-2
0	35	35	152	131	S	1335757	Spiribacter curvatus	AP-DNA-2
0	21	0	114	109	S	1335746	Spiribacter salinus	AP-DNA-2
0	21	21	114	109	S1	1260251	Spiribacter salinus M19-40	AP-DNA-2
0	124	2	597	534	G	1765964	Acidihalobacter	AP-DNA-2
0	49	49	218	190	S	1765967	Acidihalobacter ferrooxydans	AP-DNA-2
0	46	46	234	209	S	2792603	Acidihalobacter aeolianus	AP-DNA-2
0	27	27	135	125	S	2819280	Acidihalobacter yilgarnensis	AP-DNA-2
0	70	0	329	301	G	85108	Halorhodospira	AP-DNA-2
0	58	0	273	253	S	1053	Halorhodospira halophila	AP-DNA-2
0	58	58	273	253	S1	349124	Halorhodospira halophila SL1	AP-DNA-2
0	12	12	55	47	S	1052	Halorhodospira halochloris	AP-DNA-2
0	50	8	254	236	G	1051	Ectothiorhodospira	AP-DNA-2
0	24	24	128	116	S	421628	Ectothiorhodospira haloalkaliphila	AP-DNA-2
0	18	0	92	88	G1	2684909	unclassified Ectothiorhodospira	AP-DNA-2
0	18	18	92	88	S	1442136	Ectothiorhodospira sp. BSL-9	AP-DNA-2
0	48	0	247	229	G	133193	Alkalilimnicola	AP-DNA-2
0	48	0	247	229	S	351052	Alkalilimnicola ehrlichii	AP-DNA-2
0	48	48	247	229	S1	187272	Alkalilimnicola ehrlichii MLHE-1	AP-DNA-2
0	48	0	234	221	G	406099	Aquisalimonas	AP-DNA-2
0	48	0	234	221	G1	2644645	unclassified Aquisalimonas	AP-DNA-2
0	48	48	234	221	S	2740807	Aquisalimonas sp. 2447	AP-DNA-2
0	6	0	51	49	G	233099	Ectothiorhodosinus	AP-DNA-2
0	6	6	51	49	S	233100	Ectothiorhodosinus mongolicus	AP-DNA-2
0	92	0	500	460	F	1676141	Wenzhouxiangellaceae	AP-DNA-2
0	92	2	500	460	G	1676142	Wenzhouxiangella	AP-DNA-2
0	50	50	287	265	S	1579979	Wenzhouxiangella marina	AP-DNA-2
0	40	0	207	189	G1	2613841	unclassified Wenzhouxiangella	AP-DNA-2
0	40	40	207	189	S	2771012	Wenzhouxiangella sp. AB-CW3	AP-DNA-2
0	75	0	360	331	O1	451214	Chromatiales incertae sedis	AP-DNA-2
0	75	55	360	331	G	1273155	Thiohalobacter	AP-DNA-2
0	12	12	52	50	S	585455	Thiohalobacter thiocyanaticus	AP-DNA-2
0	8	0	69	65	G1	2631224	unclassified Thiohalobacter	AP-DNA-2
0	8	8	69	65	S	2795687	Thiohalobacter sp. COW1	AP-DNA-2
0	61	0	300	278	F	1096778	Thioalkalispiraceae	AP-DNA-2
0	61	0	300	278	G	2034504	Sulfurivermis	AP-DNA-2
0	61	61	300	278	S	1972068	Sulfurivermis fontis	AP-DNA-2
0	58	0	287	261	F	2035710	Thioalkalibacteraceae	AP-DNA-2
0	58	0	287	261	G	2035712	Guyparkeria	AP-DNA-2
0	58	58	287	261	S	47960	Guyparkeria halophila	AP-DNA-2
0	43	0	198	188	F	255526	Halothiobacillaceae	AP-DNA-2
0	43	0	198	188	G	109262	Halothiobacillus	AP-DNA-2
0	27	0	135	131	G1	2636392	unclassified Halothiobacillus	AP-DNA-2
0	27	27	135	131	S	1860122	Halothiobacillus sp. LS2	AP-DNA-2
0	16	0	61	55	S	927	Halothiobacillus neapolitanus	AP-DNA-2
0	16	16	61	55	S1	555778	Halothiobacillus neapolitanus c2	AP-DNA-2
0	39	0	183	167	F	449719	Granulosicoccaceae	AP-DNA-2
0	20	0	86	80	G	437504	Granulosicoccus	AP-DNA-2
0	20	0	86	80	S	437505	Granulosicoccus antarcticus	AP-DNA-2
0	20	20	86	80	S1	1192854	Granulosicoccus antarcticus IMCC3135	AP-DNA-2
0	19	0	97	87	G	1860077	Sulfuriflexus	AP-DNA-2
0	19	19	97	87	S	1811807	Sulfuriflexus mobilis	AP-DNA-2
0	21	0	115	102	F	1738654	Woeseiaceae	AP-DNA-2
0	21	0	115	102	G	1738655	Woeseia	AP-DNA-2
0	21	21	115	102	S	1548547	Woeseia oceani	AP-DNA-2
0.03	12491	97	96392	85375	O	135622	Alteromonadales	AP-DNA-2
0.03	10366	2	81333	72176	F	267890	Shewanellaceae	AP-DNA-2
0.03	10355	6190	81141	72005	G	22	Shewanella	AP-DNA-2
0.01	2219	2219	7090	6317	S	332186	Shewanella xiamenensis	AP-DNA-2
0	1029	309	3604	3162	G1	196818	unclassified Shewanella	AP-DNA-2
0	165	165	415	374	S	1930557	Shewanella sp. FDAARGOS_354	AP-DNA-2
0	122	122	438	370	S	2589790	Shewanella sp. LC6	AP-DNA-2
0	115	115	287	267	S	2806008	Shewanella sp. LZH-2	AP-DNA-2
0	90	90	405	383	S	2029986	Shewanella sp. WE21	AP-DNA-2
0	30	30	105	101	S	94122	Shewanella sp. ANA-3	AP-DNA-2
0	26	26	69	57	S	2864210	Shewanella sp. FJAT-51649	AP-DNA-2
0	24	24	65	59	S	2864211	Shewanella sp. FJAT-51754	AP-DNA-2
0	23	23	85	66	S	351745	Shewanella sp. W3-18-1	AP-DNA-2
0	17	17	83	66	S	60480	Shewanella sp. MR-4	AP-DNA-2
0	15	15	48	40	S	2059264	Shewanella sp. Pdp11	AP-DNA-2
0	15	15	55	33	S	2864206	Shewanella sp. FJAT-53749	AP-DNA-2
0	11	11	53	44	S	2950245	Shewanella sp. NFH-SH190041	AP-DNA-2
0	8	8	65	61	S	2908650	Shewanella sp. OM3-2	AP-DNA-2
0	8	8	38	35	S	2864208	Shewanella sp. FJAT-53870	AP-DNA-2
0	7	7	23	16	S	2989727	Shewanella sp. JNE2	AP-DNA-2
0	7	7	29	25	S	2698686	Shewanella sp. Arc9-LZ	AP-DNA-2
0	5	5	29	25	S	2803864	Shewanella sp. KX20019	AP-DNA-2
0	5	5	45	37	S	2590015	Shewanella sp. SNU WT4	AP-DNA-2
0	4	4	16	13	S	2864202	Shewanella sp. FJAT-52076	AP-DNA-2
0	4	4	41	32	S	2864212	Shewanella sp. FJAT-51860	AP-DNA-2
0	3	3	13	12	S	2864203	Shewanella sp. FJAT-53532	AP-DNA-2
0	3	3	16	12	S	2864207	Shewanella sp. FJAT-53764	AP-DNA-2
0	3	3	11	10	S	2864213	Shewanella sp. FJAT-52072	AP-DNA-2
0	2	2	28	25	S	2864204	Shewanella sp. FJAT-53555	AP-DNA-2
0	2	2	17	14	S	2864205	Shewanella sp. FJAT-53681	AP-DNA-2
0	2	2	15	14	S	2864209	Shewanella sp. FJAT-54031	AP-DNA-2
0	2	2	55	35	S	2589987	Shewanella sp. Scap07	AP-DNA-2
0	1	1	10	9	S	2775245	Shewanella sp. WPAGA9	AP-DNA-2
0	1	1	6	6	S	2575361	Shewanella sp. MEBiC00475	AP-DNA-2
0	176	154	890	816	S	62322	Shewanella baltica	AP-DNA-2
0	12	12	29	28	S1	402882	Shewanella baltica OS185	AP-DNA-2
0	9	9	30	22	S1	407976	Shewanella baltica OS223	AP-DNA-2
0	1	1	4	4	S1	693970	Shewanella baltica OS117	AP-DNA-2
0	148	148	637	550	S	256839	Shewanella decolorationis	AP-DNA-2
0	146	146	533	388	S	24	Shewanella putrefaciens	AP-DNA-2
0	127	127	875	835	S	518738	Shewanella vesiculosa	AP-DNA-2
0	54	0	145	131	S	70863	Shewanella oneidensis	AP-DNA-2
0	54	54	145	131	S1	211586	Shewanella oneidensis MR-1	AP-DNA-2
0	20	20	76	66	S	1965282	Shewanella khirikhana	AP-DNA-2
0	17	17	118	106	S	38313	Shewanella algae	AP-DNA-2
0	17	0	92	88	S	56812	Shewanella frigidimarina	AP-DNA-2
0	17	17	92	88	S1	318167	Shewanella frigidimarina NCIMB 400	AP-DNA-2
0	16	16	47	45	S	755175	Shewanella seohaensis	AP-DNA-2
0	12	12	49	38	S	2487742	Shewanella psychromarinicola	AP-DNA-2
0	11	11	45	44	S	2814292	Shewanella cyperi	AP-DNA-2
